,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19880,2963,6657,0.445,447,1314,0.34,2516,5343,0.471,1557,2143,0.727,1047,2381,3428,1915,795,565,1226,1903,7930
1,Team/G,,242.4,36.1,81.2,0.445,5.5,16.0,0.34,30.7,65.2,0.471,19.0,26.1,0.727,12.8,29.0,41.8,23.4,9.7,6.9,15.0,23.2,96.7
2,Lg Rank,,5,7,9,8.0,10,8,20.0,9,15,7.0,10,7,24.0,9,25,17,5,1,2,16,27,7
3,Year/Year,,-0.3%,-2.8%,-1.3%,-0.007,-4.3%,2.7%,-0.025,-2.6%,-2.2%,-0.002,8.9%,10.7%,-0.012,11.0%,-3.4%,0.6%,1.2%,22.1%,13.0%,-2.9%,13.4%,-0.8%
4,Opponent,82.0,19880,2859,6550,0.436,369,1091,0.338,2490,5459,0.456,1643,2150,0.764,1099,2508,3607,1674,673,461,1395,1891,7730
5,Opponent/G,,242.4,34.9,79.9,0.436,4.5,13.3,0.338,30.4,66.6,0.456,20.0,26.2,0.764,13.4,30.6,44.0,20.4,8.2,5.6,17.0,23.1,94.3
6,Lg Rank,,5,13,12,13.0,5,5,9.0,16,22,13.0,26,25,24.0,29,18,26,8,21,25,3,4,15
7,Year/Year,,-0.3%,-11.3%,-6.5%,-0.024,-14.4%,-8.2%,-0.025,-10.8%,-6.2%,-0.024,19.0%,18.2%,0.005,-2.4%,-1.8%,-2.0%,-15.9%,-5.7%,7.2%,15.0%,6.1%,-6.4%
