,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,41,41,36,46,-1.63,0.0,-1.64,103.5,105.3,93.1,0.287,0.156,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,United Center,849760
1,Lg Rank,17,14,18,18,18.0,14.0,18.0,27.0,11.0,11.0,20.0,29.0,28.0,15.0,16.0,21.0,7.0,24.0,8.0,9.0,,1
