,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,22,Matt Barnes,SF,6-7,226,"March 9, 1980",United States,11,UCLA
1,25,Reggie Bullock,SF,6-6,205,"March 16, 1991",United States,1,UNC
2,11,Jamal Crawford,SG,6-5,185,"March 20, 1980",United States,14,Michigan
3,9,Jared Cunningham,SG,6-4,195,"May 22, 1991",United States,2,Oregon State
4,0,Glen Davis,PF,6-9,289,"January 1, 1986",United States,7,LSU
5,14,Chris Douglas-Roberts,SG,6-7,200,"January 8, 1987",United States,5,Memphis
6,1,Jordan Farmar,PG,6-2,180,"November 30, 1986",United States,7,UCLA
7,32,Blake Griffin,PF,6-9,250,"March 16, 1989",United States,4,Oklahoma
8,1,Jordan Hamilton,SF,6-7,220,"October 6, 1990",United States,3,Texas
9,10,Spencer Hawes,PF,7-1,245,"April 28, 1988",United States,7,Washington
10,14,Lester Hudson,SG,6-3,190,"August 7, 1984",United States,3,University of Tennessee at Martin
11,31,Dahntay Jones,SF,6-6,225,"December 27, 1980",United States,10,"Rutgers University, Duke"
12,6,DeAndre Jordan,C,6-11,265,"July 21, 1988",United States,6,Texas A&M
13,3,Chris Paul,PG,6-0,175,"May 6, 1985",United States,9,Wake Forest
14,4,JJ Redick,SG,6-3,200,"June 24, 1984",United States,8,Duke
15,25,Austin Rivers,PG,6-4,200,"August 1, 1992",United States,2,Duke
16,8,Nate Robinson,PG,5-9,180,"May 31, 1984",United States,9,Washington
17,15,Hedo Turkoglu,SF,6-10,220,"March 19, 1979",Turkey,14,
18,13,Ekpe Udoh,PF,6-10,245,"May 20, 1987",United States,4,"Michigan, Baylor"
19,30,CJ Wilcox,SG,6-5,195,"December 30, 1990",United States,R,Washington
