,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,95,DeAndre' Bembry,SG,6-5,210,"July 4, 1994",United States,3,Saint Joseph's
1,4,Charlie Brown,SG,6-6,199,"February 2, 1997",United States,R,Saint Joseph's
2,15,Vince Carter,PF,6-6,220,"January 26, 1977",United States,21,UNC
3,20,John Collins,PF,6-9,235,"September 23, 1997",United States,2,Wake Forest
4,33,Allen Crabbe,SG,6-5,212,"April 9, 1992",United States,6,California
5,14,Dewayne Dedmon,C,7-0,245,"August 12, 1989",United States,6,USC
6,24,Bruno Fernando,C,6-9,240,"August 15, 1998",Angola,R,Maryland
7,0,Brandon Goodwin,PG,6-0,180,"October 2, 1995",United States,1,"Central Florida, Florida Gulf Coast"
8,2,Treveon Graham,SF,6-5,219,"October 28, 1993",United States,3,VCU
9,3,Kevin Huerter,SG,6-7,190,"August 27, 1998",United States,1,Maryland
10,12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",United States,R,Virginia
11,30,Damian Jones,C,6-11,245,"June 30, 1995",United States,3,Vanderbilt
12,25,Alex Len,C,7-0,250,"June 16, 1993",Ukraine,6,Maryland
13,5,Jabari Parker,PF,6-8,245,"March 15, 1995",United States,5,Duke
14,31,Chandler Parsons,PF,6-9,230,"October 25, 1988",United States,8,Florida
15,22,Cam Reddish,SF,6-8,218,"September 1, 1999",United States,R,Duke
16,0,Jeff Teague,PG,6-3,195,"June 10, 1988",United States,10,Wake Forest
17,1,Evan Turner,SG,6-6,220,"October 27, 1988",United States,9,Ohio State
18,8,Tyrone Wallace,SG,6-5,198,"June 10, 1994",United States,2,California
19,2,Paul Watson,SF,6-6,210,"December 30, 1994",United States,R,Fresno State
20,11,Trae Young,PG,6-1,180,"September 19, 1998",United States,1,Oklahoma
