No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Desmond Bane,G,6-5,215,"June 25, 1998",us,1,TCU
,Jarrett Culver,G,6-6,195,"February 20, 1999",us,2,Texas Tech
,Killian Tillie (TW),F,6-9,220,"March 5, 1998",fr,1,Gonzaga
,Steven Adams,C,6-11,265,"July 20, 1993",nz,8,Pitt
,Juan Hernangómez,F,6-9,214,"September 28, 1995",es,5,
,Brandon Clarke,F,6-8,215,"September 19, 1996",ca,2,"San Jose State, Gonzaga"
,Justise Winslow,F,6-6,222,"March 26, 1996",us,6,Duke
,Xavier Tillman Sr.,F,6-8,245,"January 12, 1999",us,1,Michigan State
,Tyus Jones,G,6-0,196,"May 10, 1996",us,6,Duke
,Dillon Brooks,F-G,6-7,225,"January 22, 1996",ca,4,Oregon
,Sam Merrill,G,6-4,205,"May 15, 1996",us,1,Utah State University
,De'Anthony Melton,G,6-2,200,"May 28, 1998",us,3,USC
,Jaren Jackson Jr.,F,6-11,242,"September 15, 1999",us,3,Michigan State
,Daniel Oturu,F-C,6-8,240,"September 20, 1999",us,1,Minnesota
,John Konchar,G,6-5,210,"March 22, 1996",us,2,Purdue-Fort Wayne
,Kyle Anderson,F-G,6-9,230,"September 20, 1993",us,7,UCLA
,Ziaire Williams,F,6-8,215,"September 12, 2001",us,R,Stanford
,Marc Gasol,C,6-11,255,"January 29, 1985",es,13,
,Ja Morant,G,6-3,174,"August 10, 1999",us,2,Murray State
,Santi Aldama,F,6-11,224,"January 10, 2001",es,R,Loyola College in Maryland
