StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,6,12,5,13,-7.22,1.03,-6.19,100.5,107.8,98.5,0.209,0.43,0.477,12.8,21.9,0.153,0.514,11.8,78.6,0.155,Chesapeake Energy Arena,109449
Lg Rank,25,6,27,26,26.0,5.0,27.0,29.0,15.0,14.0,23.0,8.0,29.0,15.0,18.0,28.0,15.0,22.0,8.0,6.0,,29
