,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Derek Anderson,SG,6-5,194,"July 18, 1974",United States,10,"Ohio State, Kentucky"
1,11,Earl Boykins,PG,5-5,135,"June 2, 1976",United States,9,Eastern Michigan
2,7,Primoz Brezec,C,7-2,252,"October 2, 1979",Slovenia,6,
3,13,Matt Carroll,SG,6-6,212,"August 28, 1980",United States,4,Notre Dame
4,33,Jermareo Davidson,SF,6-10,230,"November 15, 1984",United States,R,Alabama
5,4,Jared Dudley,PF,6-6,237,"July 10, 1985",United States,R,Boston College
6,20,Raymond Felton,PG,6-1,205,"June 26, 1984",United States,2,UNC
7,24,Othella Harrington,C,6-9,235,"January 31, 1974",United States,11,Georgetown
8,5,Walter Herrmann,PF,6-9,225,"June 26, 1979",Argentina,1,
9,15,Ryan Hollins,PF,7-0,240,"October 10, 1984",United States,1,UCLA
10,0,Jeff McInnis,PG,6-4,190,"October 22, 1974",United States,10,UNC
11,6,Nazr Mohammed,C,6-10,221,"September 5, 1977",United States,9,Kentucky
12,50,Emeka Okafor,C,6-10,252,"September 28, 1982",United States,3,UConn
13,23,Jason Richardson,SF,6-6,220,"January 20, 1981",United States,6,Michigan State
14,3,Gerald Wallace,PF,6-7,215,"July 23, 1982",United States,6,Alabama
