,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Bruno Caboclo,SF,6-9,218,"September 21, 1995",Brazil,R,
1,10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",United States,5,USC
2,2,Landry Fields,SF,6-7,210,"June 27, 1988",United States,4,Stanford
3,50,Tyler Hansbrough,PF,6-9,250,"November 3, 1985",United States,5,UNC
4,44,Chuck Hayes,C,6-6,240,"June 11, 1983",United States,9,Kentucky
5,15,Amir Johnson,PF,6-9,240,"May 1, 1987",United States,9,
6,3,James Johnson,PF,6-7,240,"February 20, 1987",United States,5,Wake Forest
7,7,Kyle Lowry,PG,6-0,196,"March 25, 1986",United States,8,Villanova
8,92,Lucas Nogueira,C,7-0,241,"July 26, 1992",Brazil,R,
9,54,Patrick Patterson,PF,6-8,235,"March 14, 1989",United States,4,Kentucky
10,31,Terrence Ross,SF,6-6,206,"February 5, 1991",United States,2,Washington
11,34,Greg Stiemsma,C,6-11,260,"September 26, 1985",United States,3,Wisconsin
12,17,Jonas Valanciunas,C,6-11,265,"May 6, 1992",Lithuania,2,
13,21,Greivis Vasquez,PG,6-6,217,"January 16, 1987",Venezuela,4,Maryland
14,23,Lou Williams,SG,6-1,175,"October 27, 1986",United States,9,
