,Team,Season,eFG%,TOV%,ORB%,FTr,Opp eFG%,Opp TOV%,DRB%,Opp FTr,W,L,Outcome
55,New York Knicks,2018,51.0,13.3,24.1,17.0,52.2,12.2,76.7,20.8,29,53,-1
56,Detroit Pistons,2018,51.2,12.3,22.7,16.900000000000002,52.400000000000006,13.7,78.5,17.2,39,43,-1
57,Oklahoma City Thunder,2018,51.4,12.4,27.7,19.7,52.5,14.7,77.4,19.3,48,34,0
58,Orlando Magic,2018,51.2,13.3,20.0,18.0,52.5,12.8,75.6,18.7,25,57,-1
59,Cleveland Cavaliers,2018,54.7,12.6,20.1,21.4,54.0,12.2,77.3,16.6,50,32,3
60,Milwaukee Bucks,2017,52.7,13.2,21.5,21.0,51.800000000000004,13.6,75.4,21.5,42,40,0
61,Brooklyn Nets,2017,50.7,14.7,19.6,22.8,51.300000000000004,11.6,76.1,21.2,20,62,-1
62,Washington Wizards,2017,52.800000000000004,12.8,24.1,19.900000000000002,52.400000000000006,13.8,75.5,21.3,49,33,1
63,Utah Jazz,2017,52.6,13.2,23.2,21.5,49.3,11.8,78.9,19.5,51,31,1
64,Portland Trail Blazers,2017,52.0,12.5,23.0,21.4,50.8,11.6,76.8,24.099999999999998,41,41,0
65,Phoenix Suns,2017,49.3,13.4,26.0,23.1,52.5,13.1,76.4,26.400000000000002,24,58,-1
66,Indiana Pacers,2017,51.6,12.8,21.2,21.2,51.2,13.6,75.5,22.5,42,40,0
67,Denver Nuggets,2017,53.0,13.2,27.3,21.4,53.2,10.9,78.7,19.400000000000002,40,42,-1
68,New Orleans Pelicans,2017,50.4,11.7,18.5,19.2,50.9,12.4,76.8,17.7,34,48,-1
69,Los Angeles Clippers,2017,53.7,12.0,21.5,23.3,50.6,12.1,76.9,21.099999999999998,51,31,0
70,Atlanta Hawks,2017,50.4,14.2,23.6,21.5,50.7,13.8,76.1,17.9,43,39,0
71,Sacramento Kings,2017,51.6,13.7,21.0,22.0,52.800000000000004,12.9,76.3,22.7,32,50,-1
72,Golden State Warriors,2017,56.3,13.2,22.8,20.4,48.6,13.5,74.9,19.8,67,15,4
73,Philadelphia 76ers,2017,50.1,14.9,22.4,19.900000000000002,51.2,13.5,75.3,23.400000000000002,28,54,-1
74,Memphis Grizzlies,2017,49.1,12.1,24.8,21.9,50.6,13.6,77.5,25.6,43,39,0
75,Boston Celtics,2017,52.5,12.2,21.2,22.0,50.3,12.6,75.3,22.3,53,29,2
76,Dallas Mavericks,2017,50.5,11.6,18.1,18.0,52.900000000000006,14.4,77.6,21.8,33,49,-1
77,Minnesota Timberwolves,2017,51.1,12.9,27.2,22.900000000000002,53.5,13.2,75.9,21.2,31,51,-1
78,Toronto Raptors,2017,51.7,11.8,25.0,23.3,50.7,13.5,76.3,22.3,51,31,1
79,San Antonio Spurs,2017,52.400000000000006,12.6,24.0,21.0,49.2,13.5,77.6,19.2,61,21,2
80,Chicago Bulls,2017,48.699999999999996,12.3,27.0,20.599999999999998,50.7,12.4,76.8,16.900000000000002,41,41,0
81,Los Angeles Lakers,2017,50.1,13.5,25.0,19.5,54.2,13.0,75.8,21.3,26,56,-1
82,Charlotte Hornets,2017,50.1,10.7,19.9,22.7,52.300000000000004,12.1,79.6,16.400000000000002,36,46,-1
83,Houston Rockets,2017,54.50000000000001,13.3,24.6,23.3,51.9,13.2,75.8,19.400000000000002,55,27,1
84,Miami Heat,2017,51.2,12.4,24.2,17.7,49.6,12.6,76.4,22.0,41,41,-1
85,New York Knicks,2017,49.6,12.4,26.6,18.8,51.1,11.7,74.1,21.4,31,51,-1
86,Detroit Pistons,2017,49.2,10.9,24.1,15.7,51.6,12.1,81.2,19.7,37,45,-1
87,Oklahoma City Thunder,2017,50.0,13.2,27.9,22.0,51.1,12.5,79.0,21.8,47,35,0
88,Orlando Magic,2017,48.9,12.1,21.6,18.4,52.300000000000004,11.9,77.4,20.1,29,53,-1
89,Cleveland Cavaliers,2017,54.7,12.6,21.9,20.599999999999998,51.6,11.4,75.8,17.4,51,31,3
90,Milwaukee Bucks,2016,49.9,14.2,24.9,20.7,51.0,14.2,73.1,22.1,33,49,-1
91,Brooklyn Nets,2016,49.2,13.6,24.1,18.6,53.400000000000006,13.1,75.7,17.599999999999998,21,61,-1
92,Washington Wizards,2016,51.1,13.1,20.6,19.2,51.5,14.6,77.7,21.8,41,41,-1
93,Utah Jazz,2016,50.1,14.2,25.9,21.3,49.5,13.5,77.7,21.0,40,42,-1
