No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Bones Hyland,G,6-3,173,"September 14, 2000",us,R,VCU
,Bol Bol,F-C,7-2,220,"November 16, 1999",sd,2,Oregon
,Jamal Murray,G,6-3,215,"February 23, 1997",ca,5,Kentucky
,Jeff Green,F,6-8,235,"August 28, 1986",us,13,Georgetown
,Vlatko Čančar,F,6-8,236,"April 10, 1997",si,2,
,Michael Porter Jr.,F,6-10,218,"June 29, 1998",us,2,Missouri
,Will Barton,G,6-6,181,"January 6, 1991",us,9,Memphis
,JaMychal Green,F,6-8,227,"June 21, 1990",us,7,Alabama
,Aaron Gordon,F,6-8,235,"September 16, 1995",us,7,Arizona
,Markus Howard (TW),G,5-10,175,"March 3, 1999",us,1,Marquette
,Facundo Campazzo,G,5-10,195,"March 23, 1991",ar,1,
,Nikola Jokić,C-F,6-11,284,"February 19, 1995",rs,6,
,JaMychal Green,F,6-8,227,"June 21, 1990",us,7,Alabama
,Zeke Nnaji,F,6-9,240,"January 9, 2001",us,1,Arizona
,Will Barton,G,6-6,181,"January 6, 1991",us,9,Memphis
,Austin Rivers,G,6-4,200,"August 1, 1992",us,9,Duke
,Monte Morris,G,6-2,183,"June 27, 1995",us,4,Iowa State
,PJ Dozier,G,6-6,205,"October 25, 1996",us,4,South Carolina
