,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19805,2986,6766,0.441,543,1539,0.353,2443,5227,0.467,1504,1957,0.769,975,2442,3417,1674,512,322,1165,1785,8019
1,Team/G,,241.5,36.4,82.5,0.441,6.6,18.8,0.353,29.8,63.7,0.467,18.3,23.9,0.769,11.9,29.8,41.7,20.4,6.2,3.9,14.2,21.8,97.8
2,Lg Rank,,14,21,7,29.0,18,13,24.0,18,13,27.0,22,19,15.0,5,18,14,17,28,28,17,22,21
3,Year/Year,,0.4%,-2.9%,-0.7%,-0.01,23.1%,22.2%,0.003,-7.3%,-6.0%,-0.007,20.7%,15.6%,0.032,1.1%,0.6%,0.7%,2.7%,-16.9%,5.2%,-1.9%,-5.3%,2.3%
4,Opponent,82.0,19805,3109,6561,0.474,536,1420,0.377,2573,5141,0.5,1668,2145,0.778,813,2539,3352,1765,610,484,1028,1642,8422
5,Opponent/G,,241.5,37.9,80.0,0.474,6.5,17.3,0.377,31.4,62.7,0.5,20.3,26.2,0.778,9.9,31.0,40.9,21.5,7.4,5.9,12.5,20.0,102.7
6,Lg Rank,,14,20,13,26.0,13,8,22.0,23,17,25.0,23,23,22.0,3,22,13,20,16,29,27,24,22
7,Year/Year,,0.4%,1.7%,1.2%,0.002,-0.9%,-6.3%,0.021,2.3%,3.5%,-0.006,-4.2%,-5.3%,0.009,-6.7%,-0.2%,-1.9%,-7.1%,0.0%,3.6%,-6.8%,14.5%,0.3%
