,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Al-Farouq Aminu,PF,6-8,220,"September 21, 1990",us,10,Wake Forest
1,51,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us,3,Villanova
2,7,Troy Brown,SF,6-6,215,"July 28, 1999",us,2,Oregon
3,34,Wendell Carter,C,6-10,270,"April 16, 1999",us,2,Duke
4,3,Devon Dotson,PG,6-2,185,"August 2, 1999",us,R,Kansas
5,6,Cristiano Felicio,C,6-11,270,"July 7, 1992",br,5,
6,12,Daniel Gafford,PF,6-10,234,"October 1, 1998",us,1,Arkansas
7,11,Javonte Green,PG,6-4,205,"July 23, 1993",us,1,Radford
8,15,Chandler Hutchison,SF,6-6,210,"April 26, 1996",us,2,Boise State
9,2,Luke Kornet,PF,7-2,250,"July 15, 1995",us,3,Vanderbilt
10,8,Zach LaVine,SG,6-5,200,"March 10, 1995",us,6,UCLA
11,24,Lauri Markkanen,PF,7-0,240,"May 22, 1997",fi,3,Arizona
12,20,Adam Mokoka,SG,6-4,190,"July 18, 1998",fr,1,
13,22,Otto Porter,SF,6-8,198,"June 3, 1993",us,7,Georgetown
14,31,Tomas Satoransky,SG,6-7,210,"October 30, 1991",cz,4,
15,17,Garrett Temple,SG,6-5,195,"May 8, 1986",us,10,LSU
16,27,Daniel Theis,C,6-8,245,"April 4, 1992",de,3,
17,45,Denzel Valentine,SG,6-4,220,"November 16, 1993",us,3,Michigan State
18,9,Nikola Vucevic,C,6-11,260,"October 24, 1990",ch,9,USC
19,0,Coby White,PG,6-5,195,"February 16, 2000",us,1,UNC
20,"9, 44",Patrick Williams,PF,6-7,215,"August 26, 2001",us,R,Florida State
21,21,Thaddeus Young,PF,6-8,235,"June 21, 1988",us,13,Georgia Tech
