,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,42,24,41,25,3.3,-0.71,2.6,106.7,103.1,90.7,0.321,0.198,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,Bankers Life Fieldhouse,467561
1,Lg Rank,5,26,7,7,7.0,27.0,9.0,7.0,9.0,19.0,3.0,21.0,23.0,7.0,5.0,2.0,7.0,12.0,21.0,22.0,,29
