,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,9,Tony Allen,SG,6-4,213,"January 11, 1982",United States,9,"Butler County Community College, Oklahoma State"
1,7,Jerryd Bayless,PG,6-3,200,"August 20, 1988",United States,5,Arizona
2,12,Nick Calathes,SG,6-6,213,"February 7, 1989",United States,R,Florida
3,11,Mike Conley,PG,6-1,175,"October 11, 1987",United States,6,Ohio State
4,1,Seth Curry,PG,6-2,185,"August 23, 1990",United States,R,"Liberty, Duke"
5,32,Ed Davis,PF,6-9,218,"June 5, 1989",United States,3,UNC
6,22,Jamaal Franklin,SG,6-5,191,"July 21, 1991",United States,R,San Diego State
7,33,Marc Gasol,C,6-11,255,"January 29, 1985",Spain,5,
8,3,James Johnson,SF,6-7,240,"February 20, 1987",United States,4,Wake Forest
9,41,Kosta Koufos,C,7-0,245,"February 24, 1989",United States,5,Ohio State
10,5,Courtney Lee,SG,6-5,215,"October 3, 1985",United States,5,Western Kentucky
11,30,Jon Leuer,PF,6-10,228,"May 14, 1989",United States,2,Wisconsin
12,13,Mike Miller,SF,6-8,218,"February 19, 1980",United States,13,Florida
13,7,Darius Morris,PG,6-4,190,"January 3, 1991",United States,2,Michigan
14,20,Quincy Pondexter,SG,6-7,230,"March 10, 1988",United States,3,Washington
15,21,Tayshaun Prince,SF,6-9,212,"February 28, 1980",United States,11,Kentucky
16,50,Zach Randolph,PF,6-9,250,"July 16, 1981",United States,12,Michigan State
17,19,Beno Udrih,SG,6-3,205,"July 5, 1982",Slovenia,9,
