,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19905,2911,6608,0.441,379,1119,0.339,2532,5489,0.461,1739,2271,0.766,1004,2622,3626,1910,696,443,1210,1811,7940
1,Team/G,,242.7,35.5,80.6,0.441,4.6,13.6,0.339,30.9,66.9,0.461,21.2,27.7,0.766,12.2,32.0,44.2,23.3,8.5,5.4,14.8,22.1,96.8
2,Lg Rank,,5,15,16,17.0,19,19,20.0,14,13,17.0,4,3,13.0,12,2,5,4,8,14,15,20,10
3,Year/Year,,0.0%,-0.8%,0.4%,-0.006,-6.4%,-6.4%,-0.0,0.1%,1.9%,-0.009,4.6%,5.4%,-0.006,8.0%,2.1%,3.7%,1.4%,5.8%,1.6%,-3.1%,-3.5%,0.0%
4,Opponent,82.0,19905,2860,6690,0.428,407,1197,0.34,2453,5493,0.447,1527,1992,0.767,1006,2458,3464,1696,620,513,1258,1923,7654
5,Opponent/G,,242.7,34.9,81.6,0.428,5.0,14.6,0.34,29.9,67.0,0.447,18.6,24.3,0.767,12.3,30.0,42.2,20.7,7.6,6.3,15.3,23.5,93.3
6,Lg Rank,,5,8,19,4.0,10,13,8.0,10,17,4.0,16,15,23.0,18,12,16,8,9,27,11,3,13
7,Year/Year,,0.0%,-3.9%,-1.6%,-0.01,-2.6%,-0.2%,-0.008,-4.1%,-1.9%,-0.01,-1.1%,-3.4%,0.018,-4.0%,-2.2%,-2.8%,-4.2%,0.3%,10.1%,7.2%,3.7%,-3.3%
