,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,Chris Andersen,C,6-10,245,"July 7, 1978",United States,3,Blinn College
1,10,Darrell Armstrong,PG,6-0,170,"June 22, 1968",United States,10,Fayetteville State University
2,3,Lonny Baxter,PF,6-8,260,"January 27, 1979",United States,2,Maryland
3,42,PJ Brown,PF,6-11,225,"October 14, 1969",United States,11,Louisiana Tech
4,5,Speedy Claxton,PG,5-11,166,"May 8, 1978",United States,3,Hofstra
5,1,Baron Davis,PG,6-3,209,"April 13, 1979",United States,5,UCLA
6,2,Dan Dickau,PG,6-0,190,"September 16, 1978",United States,2,"Washington, Gonzaga"
7,34,Corsley Edwards,C,6-9,275,"March 5, 1979",United States,R,Central Connecticut State University
8,35,Matt Freije,PF,6-10,240,"October 2, 1981",United States,R,Vanderbilt
9,20,Alex Garcia,SG,6-3,220,"March 4, 1980",Brazil,1,
10,6,Junior Harrington,SG,6-4,180,"October 2, 1980",United States,1,Wingate University
11,32,Casey Jacobsen,SG,6-6,215,"March 19, 1981",United States,2,Stanford
12,15,Maciej Lampe,C,6-11,275,"February 5, 1985",Poland,1,
13,9,George Lynch,SF,6-8,218,"September 3, 1970",United States,11,UNC
14,21,Jamaal Magloire,C,6-11,259,"May 21, 1978",Canada,4,Kentucky
15,10,Bostjan Nachbar,PF,6-9,221,"July 3, 1980",Slovenia,2,
16,33,Lee Nailon,SF,6-9,238,"February 22, 1975",United States,4,"Butler County Community College, TCU"
17,54,Rodney Rogers,SF,6-7,235,"June 20, 1971",United States,11,Wake Forest
18,23,JR Smith,SG,6-6,225,"September 9, 1985",United States,R,
19,4,Jackson Vroman,C,6-10,220,"June 6, 1981",United States,R,Iowa State
20,4,David Wesley,SG,6-0,190,"November 14, 1970",United States,11,Baylor
21,30,David West,SF,6-9,250,"August 29, 1980",United States,1,Xavier
