StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,11.0,2640,436,944,0.462,119,343,0.347,317,601,0.527,175,227,0.771,121,373,494,277,84,40,181,173,1166
Team/G,,240.0,39.6,85.8,0.462,10.8,31.2,0.347,28.8,54.6,0.527,15.9,20.6,0.771,11.0,33.9,44.9,25.2,7.6,3.6,16.5,15.7,106.0
Lg Rank,,7,20,26,10.0,23,27,15.0,10,12,9.0,9,11,14.0,8,25,20,6,19,29,24,1,20
Year/Year,,-0.9%,2.7%,0.1%,0.012,8.2%,4.9%,0.011,0.8%,-2.5%,0.017,-4.5%,-7.9%,0.027,5.5%,4.9%,5.1%,5.7%,-1.6%,-19.4%,6.3%,-13.4%,2.1%
Opponent,11.0,2640,453,1006,0.45,122,365,0.334,331,641,0.516,126,171,0.737,136,356,492,263,113,61,159,209,1154
Opponent/G,,240.0,41.2,91.5,0.45,11.1,33.2,0.334,30.1,58.3,0.516,11.5,15.5,0.737,12.4,32.4,44.7,23.9,10.3,5.5,14.5,19.0,104.9
Lg Rank,,7,24,25,20.0,6,8,14.0,29,28,13.0,1,2,5.0,29,3,10,20,29,22,15,15,11
Year/Year,,-0.9%,-1.9%,5.4%,-0.034,-10.6%,2.4%,-0.048,1.7%,7.3%,-0.029,-27.8%,-23.8%,-0.042,25.0%,-4.4%,2.3%,-5.8%,20.7%,-6.1%,0.7%,-5.7%,-6.6%
