,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,19,Leandro Barbosa,SG,6-3,194,"November 28, 1982",Brazil,13,
1,35,Dragan Bender,PF,7-0,225,"November 17, 1997",Bosnia & Herzegovina,R,
2,2,Eric Bledsoe,PG,6-1,214,"December 9, 1989",United States,6,Kentucky
3,1,Devin Booker,SG,6-5,206,"October 30, 1996",United States,1,Kentucky
4,4,Tyson Chandler,C,7-0,235,"October 2, 1982",United States,15,
5,0,Marquese Chriss,PF,6-9,240,"July 2, 1997",United States,R,Washington
6,3,Jared Dudley,PF,6-6,237,"July 10, 1985",United States,9,Boston College
7,31,Jarell Eddie,SF,6-7,218,"October 30, 1991",United States,1,Virginia Tech
8,23,John Jenkins,SG,6-4,215,"March 6, 1991",United States,4,Vanderbilt
9,10,Derrick Jones,SF,6-5,210,"February 15, 1997",United States,R,UNLV
10,11,Brandon Knight,SG,6-2,182,"December 2, 1991",United States,5,Kentucky
11,21,Alex Len,C,7-0,250,"June 16, 1993",Ukraine,3,Maryland
12,22,Elijah Millsap,SG,6-6,225,"August 12, 1987",United States,2,"Louisiana, UAB"
13,14,Ronnie Price,PG,6-2,190,"June 21, 1983",United States,11,"Nicholls State, Utah Valley"
14,17,PJ Tucker,SF,6-5,245,"May 5, 1985",United States,5,Texas
15,8,Tyler Ulis,PG,5-10,160,"January 5, 1996",United States,R,Kentucky
16,12,TJ Warren,SF,6-8,220,"September 5, 1993",United States,2,NC State
17,15,Alan Williams,C,6-8,265,"January 28, 1993",United States,1,UC Santa Barbara
