,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,19,Furkan Aldemir,PF,6-10,240,"August 9, 1991",Turkey,R,
1,0,Isaiah Canaan,PG,6-0,201,"May 21, 1991",United States,1,Murray State
2,1,Michael Carter-Williams,PG,6-5,190,"October 10, 1991",United States,1,Syracuse
3,33,Robert Covington,SF,6-7,209,"December 14, 1990",United States,1,Tennessee State
4,0,Brandon Davies,PF,6-10,240,"July 25, 1991",United States,1,BYU
5,7,Larry Drew,PG,6-2,180,"March 5, 1990",United States,R,"UNC, UCLA"
6,20,Tim Frazier,PG,6-0,170,"November 1, 1990",United States,R,Penn State
7,30,Drew Gordon,PF,6-9,245,"July 12, 1990",United States,R,"UCLA, New Mexico"
8,39,Jerami Grant,SF,6-8,210,"March 12, 1994",United States,R,Syracuse
9,16,Chris Johnson,SF,6-6,206,"April 29, 1990",United States,2,Dayton
10,11,Malcolm Lee,SG,6-5,200,"May 22, 1990",United States,2,UCLA
11,12,Luc Mbah a Moute,PF,6-8,230,"September 9, 1986",Cameroon,6,UCLA
12,14,KJ McDaniels,SG,6-6,205,"February 9, 1993",United States,R,Clemson
13,1,JaVale McGee,C,7-0,270,"January 19, 1988",United States,6,Nevada
14,4,Nerlens Noel,C,6-11,220,"April 10, 1994",United States,R,Kentucky
15,23,Jason Richardson,SG,6-6,220,"January 20, 1981",United States,12,Michigan State
16,1,Glenn Robinson,SF,6-6,222,"January 8, 1994",United States,R,Michigan
17,41,Thomas Robinson,PF,6-10,237,"March 17, 1991",United States,2,Kansas
18,9,JaKarr Sampson,SF,6-7,214,"March 20, 1993",United States,R,St. John's
19,88,Alexey Shved,SG,6-6,190,"December 16, 1988",Russia,2,
20,35,Henry Sims,C,6-10,248,"March 27, 1990",United States,2,Georgetown
21,5,Ish Smith,PG,6-0,175,"July 5, 1988",United States,4,Wake Forest
22,11,Malcolm Thomas,PF,6-9,225,"November 8, 1988",United States,3,"Pepperdine, San Diego State"
23,31,Hollis Thompson,SG,6-8,206,"April 3, 1991",United States,1,Georgetown
24,8,Tony Wroten,PG,6-6,205,"April 13, 1993",United States,2,Washington
