StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,7,3,4,6,-2.3,-0.95,-3.25,104.7,107.1,97.8,0.232,0.454,0.503,12.2,21.7,0.165,0.519,12.5,79.4,0.156,American Airlines Center,116334
Lg Rank,4,24,23,20,21.0,23.0,24.0,22.0,12.0,25.0,10.0,5.0,24.0,9.0,17.0,20.0,19.0,17.0,8.0,7.0,,6
