,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,4,Quincy Acy,PF,6-7,240,"October 6, 1990",United States,R,Baylor
1,6,Alan Anderson,SF,6-6,220,"October 16, 1982",United States,3,Michigan State
2,7,Andrea Bargnani,PF,7-0,245,"October 26, 1985",Italy,6,
3,8,Jose Calderon,PG,6-3,200,"September 28, 1981",Spain,7,
4,32,Ed Davis,C,6-9,218,"June 5, 1989",United States,2,UNC
5,10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",United States,3,USC
6,2,Landry Fields,SF,6-7,210,"June 27, 1988",United States,2,Stanford
7,22,Rudy Gay,SF,6-8,250,"August 17, 1986",United States,6,UConn
8,34,Aaron Gray,C,7-0,270,"December 7, 1984",United States,5,Pitt
9,15,Amir Johnson,PF,6-9,240,"May 1, 1987",United States,7,
10,11,Linas Kleiza,SF,6-8,245,"January 3, 1985",Lithuania,6,Missouri
11,3,Kyle Lowry,PG,6-0,196,"March 25, 1986",United States,6,Villanova
12,5,John Lucas III,PG,5-11,166,"November 21, 1982",United States,4,"Baylor, Oklahoma State"
13,1,Dominic McGuire,SF,6-9,220,"October 20, 1985",United States,5,"California, Fresno State"
14,20,Mickael Pietrus,SF,6-6,215,"February 7, 1982",Guadeloupe,9,
15,31,Terrence Ross,SG,6-6,206,"February 5, 1991",United States,R,Washington
16,13,Sebastian Telfair,PG,6-0,165,"June 9, 1985",United States,8,
17,17,Jonas Valanciunas,C,6-11,265,"May 6, 1992",Lithuania,R,
