StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,6,8,6,8,-1.93,0.56,-1.37,107.9,109.8,99.2,0.206,0.457,0.522,12.3,21.6,0.151,0.519,12.1,76.2,0.163,Fiserv Forum,86705
Lg Rank,17,7,21,22,22.0,10.0,20.0,16.0,21.0,12.0,23.0,4.0,16.0,11.0,20.0,25.0,20.0,21.0,23.0,11.0,,24
