,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,16,66,19,63,-8.79,0.79,-8.0,102.9,112.2,94.4,0.309,0.179,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,Target Center,595652
1,Lg Rank,30,1,28,28,28.0,1.0,28.0,25.0,30.0,11.0,3.0,30.0,28.0,21.0,8.0,2.0,30.0,10.0,30.0,7.0,,28
