StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,10,8,10,8,2.11,-0.27,1.85,112.8,110.6,95.5,0.222,0.381,0.537,11.4,20.2,0.182,0.514,11.9,74.7,0.175,Wells Fargo Center,161333
Lg Rank,9,14,10,11,11.0,20.0,10.0,3.0,24.0,30.0,15.0,19.0,6.0,3.0,27.0,13.0,16.0,21.0,28.0,16.0,,8
