No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Robin Lopez,C,7-0,281,"April 1, 1988",us,13,Stanford
,Michael Carter-Williams,G,6-5,190,"October 10, 1991",us,8,Syracuse
,Gary Harris,G,6-4,210,"September 14, 1994",us,7,Michigan State
,Ignas Brazdeikis (TW),F,6-6,221,"January 8, 1999",lt,2,Michigan
,R.J. Hampton,G,6-4,175,"February 7, 2001",us,1,
,Mo Bamba,C,7-0,231,"May 12, 1998",us,3,Texas
,Moritz Wagner,F-C,6-11,245,"April 26, 1997",de,3,Michigan
,Jonathan Isaac,F,6-11,230,"October 3, 1997",us,3,Florida State
,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us,3,Duke
,E'Twaun Moore,G-F,6-3,191,"February 25, 1989",us,10,Purdue
,Markelle Fultz,G,6-3,209,"May 29, 1998",us,4,Washington
,Terrence Ross,F-G,6-6,206,"February 5, 1991",us,9,Washington
,Hassani Gravett,G,6-2,188,"July 16, 1996",us,R,"Pensacola State, South Carolina"
,Jalen Suggs,G,6-4,205,"June 3, 2001",us,R,Gonzaga
,Chuma Okeke,F,6-6,229,"August 18, 1998",us,1,Auburn
,Jon Teske,C,7-1,265,"May 4, 1997",us,R,Michigan
,Franz Wagner,G-F,6-9,225,"August 27, 2001",de,R,Michigan
,Cole Anthony,G,6-2,185,"May 15, 2000",us,1,UNC
,Jeff Dowtin,G,6-3,185,"May 10, 1997",us,R,Rhode Island
