,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,34,Ray Allen,SG,6-5,205,"July 20, 1975",United States,10,UConn
1,44,Andre Brown,PF,6-9,245,"May 12, 1981",United States,R,DePaul
2,4,Nick Collison,C,6-10,255,"October 26, 1980",United States,2,Kansas
3,33,Desmon Farmer,SG,6-5,220,"October 7, 1981",United States,R,USC
4,21,Danny Fortson,C,6-7,260,"March 27, 1976",United States,9,Cincinnati
5,15,Mickael Gelabale,SF,6-7,215,"May 22, 1983",Guadeloupe,R,
6,11,Andreas Glyniadakis,C,7-1,280,"August 21, 1981",Greece,R,
7,7,Rashard Lewis,SF,6-10,215,"August 8, 1979",United States,8,
8,14,Randy Livingston,PG,6-4,209,"April 2, 1975",United States,10,LSU
9,27,Johan Petro,C,7-0,247,"January 27, 1986",France,1,
10,8,Luke Ridnour,PG,6-2,175,"February 13, 1981",United States,3,Oregon
11,18,Mouhamed Sene,C,6-11,230,"May 12, 1986",Senegal,R,
12,25,Earl Watson,PG,6-1,195,"June 12, 1979",United States,5,UCLA
13,54,Chris Wilcox,PF,6-10,221,"September 3, 1982",United States,4,Maryland
14,12,Damien Wilkins,SF,6-6,225,"January 11, 1980",United States,2,"NC State, Georgia"
15,29,Mike Wilks,PG,5-10,185,"May 7, 1979",United States,4,Rice University
