No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Raul Neto,G,6-1,180,"May 19, 1992",br,6,
,Montrezl Harrell,F-C,6-7,240,"January 26, 1994",us,6,Louisville
,Bradley Beal,G,6-3,207,"June 28, 1993",us,9,Florida
,Corey Kispert,G-F,6-7,220,"March 3, 1999",us,R,Gonzaga
,Kentavious Caldwell-Pope,G,6-5,204,"February 18, 1993",us,8,Georgia
,Aaron Holiday,G,6-0,185,"September 30, 1996",us,3,UCLA
,Jay Huff,F-C,7-1,240,"August 25, 1998",us,R,Virginia
,Anthony Gill,F,6-7,230,"October 17, 1992",us,1,"South Carolina, Virginia"
,Rui Hachimura,F,6-8,230,"February 8, 1998",jp,2,Gonzaga
,Isaiah Todd,F,6-10,220,"October 17, 2001",us,R,
,Deni Avdija,G-F,6-9,210,"January 3, 2001",il,1,
,Daniel Gafford,F,6-10,234,"October 1, 1998",us,2,Arkansas
,Jordan Goodwin,G,6-3,200,"October 23, 1998",us,R,Saint Louis
,Kyle Kuzma,F,6-10,221,"July 24, 1995",us,4,Utah
,Thomas Bryant,C,6-10,248,"July 31, 1997",us,4,Indiana
,Cassius Winston (TW),G,6-1,185,"February 28, 1998",us,1,Michigan State
,Spencer Dinwiddie,G,6-5,215,"April 6, 1993",us,7,Colorado
,Dāvis Bertāns,F,6-10,225,"November 12, 1992",lv,5,
