StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,10,4,10,4,5.86,0.13,5.98,110.0,104.1,98.7,0.23,0.321,0.528,12.3,19.7,0.196,0.507,14.8,78.3,0.184,United Center,142828
Lg Rank,2,25,3,6,4.0,16.0,4.0,10.0,6.0,14.0,10.0,29.0,10.0,11.0,26.0,4.0,10.0,5.0,10.0,23.0,,5
