,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Trevor Ariza,SF,6-8,215,"June 30, 1985",United States,1,UCLA
1,30,Carlos Arroyo,SG,6-2,202,"July 30, 1979",Puerto Rico,4,Florida International University
2,2,Stacey Augmon,SF,6-8,205,"August 1, 1968",United States,14,UNLV
3,4,Tony Battie,C,6-11,230,"February 11, 1976",United States,8,Texas Tech
4,13,Kelvin Cato,C,6-11,255,"August 26, 1974",United States,8,"University of South Alabama, Iowa State"
5,34,Travis Diener,PG,6-1,175,"March 1, 1982",United States,R,Marquette
6,5,Keyon Dooling,PG,6-3,196,"May 8, 1980",United States,5,Missouri
7,3,Steve Francis,PG,6-3,195,"February 21, 1977",United States,6,Maryland
8,8,Pat Garrity,PF,6-9,238,"August 23, 1976",United States,7,Notre Dame
9,33,Grant Hill,SF,6-8,225,"October 5, 1972",United States,10,Duke
10,12,Dwight Howard,PF,6-10,265,"December 8, 1985",United States,1,
11,41,Mario Kasun,C,7-1,260,"April 5, 1980",Croatia,1,
12,31,Darko Milicic,C,7-0,250,"June 20, 1985",Serbia,2,
13,40,Terence Morris,SF,6-9,221,"January 11, 1979",United States,2,Maryland
14,14,Jameer Nelson,PG,6-0,190,"February 9, 1982",United States,1,Saint Joseph's
15,45,Bo Outlaw,PF,6-8,210,"April 13, 1971",United States,12,"South Plains College, Houston"
16,9,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",United States,5,
17,15,Hedo Turkoglu,SF,6-10,220,"March 19, 1979",Turkey,5,
