,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,42,Tony Allen,SG,6-4,213,"January 11, 1982",us,R,"Butler County Community College, Oklahoma State"
1,11,Marcus Banks,PG,6-2,200,"November 19, 1981",us,1,UNLV
2,30,Mark Blount,C,7-0,230,"November 30, 1975",us,4,Pitt
3,12,Ricky Davis,SG,6-6,195,"September 23, 1979",us,6,Iowa
4,7,Tom Gugliotta,PF,6-10,240,"December 19, 1969",us,12,NC State
5,"7, 8",Al Jefferson,PF,6-10,289,"January 4, 1985",us,R,
6,45,Raef LaFrentz,PF,6-11,240,"May 29, 1976",us,6,Kansas
7,0,Walter McCarty,PF,6-10,230,"February 1, 1974",us,8,Kentucky
8,20,Gary Payton,PG,6-4,180,"July 23, 1968",us,14,Oregon State
9,43,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,1,
10,34,Paul Pierce,SF,6-7,235,"October 13, 1977",us,6,Kansas
11,9,Justin Reed,SF,6-8,240,"January 16, 1982",us,R,Ole Miss
12,88,Antoine Walker,PF,6-8,224,"August 12, 1976",us,8,Kentucky
13,44,Jiri Welsch,SG,6-7,208,"January 27, 1980",cz,2,
14,13,Delonte West,SG,6-4,180,"July 26, 1983",us,R,Saint Joseph's
