,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,2,Marcus Banks,PG,6-2,200,"November 19, 1981",United States,4,UNLV
1,10,Leandro Barbosa,SG,6-3,194,"November 28, 1982",Brazil,4,
2,19,Raja Bell,SG,6-5,204,"September 19, 1976",U.S. Virgin Islands,7,"Boston University, Florida International University"
3,3,Boris Diaw,PF,6-8,250,"April 16, 1982",France,4,
4,2,Gordan Giricek,SG,6-6,210,"June 20, 1977",Croatia,5,
5,33,Grant Hill,SF,6-8,225,"October 5, 1972",United States,12,Duke
6,43,Linton Johnson,PF,6-8,205,"June 13, 1980",United States,4,Tulane
7,31,Shawn Marion,PF,6-7,220,"May 7, 1978",United States,8,"Vincennes University, UNLV"
8,4,Sean Marks,C,6-10,250,"August 23, 1975",New Zealand,7,California
9,13,Steve Nash,PG,6-3,195,"February 7, 1974",South Africa,11,Santa Clara
10,32,Shaquille O'Neal,C,7-1,325,"March 6, 1972",United States,15,LSU
11,52,Eric Piatkowski,SF,6-7,215,"September 30, 1970",United States,13,Nebraska
12,54,Brian Skinner,C,6-9,255,"May 19, 1976",United States,9,Baylor
13,1,Amar'e Stoudemire,C,6-10,245,"November 16, 1982",United States,5,
14,8,DJ Strawberry,SG,6-5,201,"June 15, 1985",United States,R,Maryland
15,29,Alando Tucker,SF,6-6,205,"February 11, 1984",United States,R,Wisconsin
