,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Steve Blake,PG,6-3,172,"February 26, 1980",United States,9,Maryland
1,24,Kobe Bryant,SG,6-6,212,"August 23, 1978",United States,16,
2,6,Earl Clark,PF,6-10,225,"January 17, 1988",United States,3,Louisville
3,21,Chris Duhon,PG,6-1,185,"August 31, 1982",United States,8,Duke
4,3,Devin Ebanks,SF,6-9,215,"October 28, 1989",United States,2,West Virginia
5,16,Pau Gasol,PF,7-0,250,"July 6, 1980",Spain,11,
6,0,Andrew Goudelock,SG,6-3,200,"December 7, 1988",United States,1,College of Charleston
7,27,Jordan Hill,PF,6-10,235,"July 27, 1987",United States,3,Arizona
8,12,Dwight Howard,C,6-10,265,"December 8, 1985",United States,8,
9,4,Antawn Jamison,PF,6-8,223,"June 12, 1976",United States,14,UNC
10,7,Darius Johnson-Odom,SG,6-2,215,"September 28, 1989",United States,R,Marquette
11,20,Jodie Meeks,SG,6-4,210,"August 21, 1987",United States,3,Kentucky
12,1,Darius Morris,PG,6-4,190,"January 3, 1991",United States,1,Michigan
13,10,Steve Nash,PG,6-3,195,"February 7, 1974",South Africa,16,Santa Clara
14,50,Robert Sacre,C,7-0,270,"June 6, 1989",United States,R,Gonzaga
15,15,Metta World Peace,SF,6-7,260,"November 13, 1979",United States,13,St. John's
