,Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
326,327,Sasha Pavlovic,SG-SF,27,TOT,31,7,11.025,0.775,2.175,0.38,0.287,0.95,0.35,0.487,1.225,0.41,0.45,0.125,0.25,,0.05,1.05,1.05,0.625,0.25,0.312,0.388,1.025,1.975,152.625,5.0,0.45,0.417,0.131,0.5,11.0,5.92,7.32,1.29,2.05,14.0,11.31,,-0.1,0.213,0.138,0.023,,-4.95,1.175,-3.75,-0.062
327,328,Nikola Pekovic,C,25,MIN,65,11,13.6,2.1,4.0,.517,0.0,0.0,,2.1,4.0,.517,.517,1.3,1.8,.763,1.4,1.6,3.0,0.4,0.3,0.5,1.4,2.8,5.5,887,11.2,.573,.000,.433,11.0,13.2,12.1,4.8,1.0,3.0,22.5,19.4,,0.2,0.5,0.6,.035,,-4.8,-0.9,-5.7,-0.8
328,329,Kendrick Perkins,C,26,TOT,29,24,25.525,2.3,4.45,0.51,0.0,0.0,,2.3,4.45,0.51,0.51,1.325,2.4,0.55,2.15,5.825,7.975,0.875,0.325,0.875,1.9,3.15,5.875,478.25,9.5,0.53,0.0,0.533,10.5,26.08,18.65,5.2,0.62,2.62,25.92,13.48,,-0.125,0.75,0.6,0.06,,-3.6,0.575,-3.075,-0.1
329,330,Morris Peterson,SG,33,OKC,4,0,5.8,0.5,1.3,.400,0.0,0.3,.000,0.5,1.0,.500,.400,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.0,0.0,1.3,1.0,23,1.7,.400,.200,.000,0.0,14.8,7.6,6.4,0.0,0.0,0.0,9.9,,0.0,0.0,0.0,.015,,-8.7,-1.0,-9.8,0.0
330,331,Johan Petro,C,25,NJN,77,1,11.6,1.7,3.8,.445,0.0,0.1,.000,1.7,3.7,.451,.445,0.2,0.4,.536,0.8,1.9,2.8,0.6,0.4,0.4,0.6,2.3,3.5,893,9.9,.452,.014,.097,8.0,20.4,14.0,8.4,2.0,2.9,13.2,18.1,,-0.7,1.1,0.4,.024,,-5.5,0.9,-4.7,-0.6
331,332,Paul Pierce*,SF,33,BOS,80,80,34.7,6.3,12.8,.497,1.4,3.7,.374,5.0,9.1,.547,.551,4.8,5.6,.860,0.4,5.0,5.4,3.3,1.0,0.6,2.1,2.9,18.9,2774,19.7,.620,.291,.440,1.6,16.6,9.5,16.1,1.5,1.4,12.3,24.0,,6.5,5.1,11.6,.201,,3.0,1.6,4.6,4.6
332,333,Mickael Pietrus,SG-SF,28,TOT,57,4,19.4,2.525,6.425,0.39,1.475,4.125,0.36,1.0,2.3,0.44,0.51,0.675,0.975,0.65,0.25,1.95,2.2,0.575,0.5,0.4,0.7,1.75,7.175,725.75,9.925,0.52,0.649,0.154,1.57,11.47,6.6,4.6,1.35,1.45,9.12,17.8,,0.15,0.6,0.8,0.054,,-1.175,0.2,-0.975,0.175
333,334,Dexter Pittman,C,22,MIA,2,0,5.5,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,1.0,1.0,1.0,11,-6.4,.333,.000,.000,11.5,20.4,16.2,0.0,0.0,0.0,40.0,21.3,,-0.1,0.0,-0.1,-0.246,,-15.1,-2.8,-17.9,0.0
334,335,Quincy Pondexter,SF,22,NOH,66,6,11.1,1.1,2.7,.406,0.3,0.8,.360,0.8,2.0,.423,.456,0.4,0.5,.706,0.3,1.0,1.3,0.4,0.3,0.2,0.2,1.0,2.8,734,8.5,.482,.278,.189,3.8,10.8,7.3,5.9,1.3,1.1,7.6,13.7,,0.2,0.7,0.9,.060,,-2.4,0.1,-2.3,-0.1
335,336,James Posey,SF,34,IND,49,0,17.1,1.7,4.9,.336,1.4,4.3,.316,0.3,0.6,.483,.475,0.2,0.3,.733,0.2,2.8,3.0,0.7,0.5,0.1,0.5,2.1,4.9,839,7.5,.485,.880,.062,1.3,18.0,9.7,6.1,1.4,0.5,8.8,14.3,,0.0,1.0,1.0,.056,,-2.6,0.5,-2.1,0.0
