,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0,Andray Blatche,C,6-11,235,"August 22, 1986",United States,7,
1,10,Keith Bogans,SG,6-5,215,"May 12, 1980",United States,9,Kentucky
2,9,MarShon Brooks,SG,6-5,200,"January 26, 1989",United States,1,Providence
3,2,Josh Childress,SF,6-8,210,"June 20, 1983",United States,6,Stanford
4,30,Reggie Evans,PF,6-8,245,"May 18, 1980",United States,10,Iowa
5,43,Kris Humphries,PF,6-9,235,"February 6, 1985",United States,8,Minnesota
6,14,Damion James,SF,6-7,225,"October 7, 1987",United States,2,Texas
7,7,Joe Johnson,SG,6-7,240,"June 29, 1981",United States,11,Arkansas
8,24,Kris Joseph,SF,6-7,210,"December 17, 1988",Canada,R,Syracuse
9,11,Brook Lopez,C,7-0,282,"April 1, 1988",United States,4,Stanford
10,20,Tornike Shengelia,SF,6-9,217,"October 5, 1991",Georgia,R,
11,42,Jerry Stackhouse,SF,6-6,218,"November 5, 1974",United States,17,UNC
12,41,Tyshawn Taylor,PG,6-3,185,"April 12, 1990",United States,R,Kansas
13,33,Mirza Teletovic,PF,6-9,242,"September 18, 1985",Bosnia & Herzegovina,R,
14,45,Gerald Wallace,SF,6-7,215,"July 23, 1982",United States,11,Alabama
15,1,CJ Watson,PG,6-2,175,"April 17, 1984",United States,5,Tennessee
16,8,Deron Williams,PG,6-3,200,"June 26, 1984",United States,7,Illinois
