,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,23.0,CHO,NBA,PG,46.0,3.0,14.7,1.6,4.7,0.343,0.7,2.6,0.281,0.9,2.1,0.421,0.421,0.8,1.0,0.761,0.2,1.2,1.4,2.6,0.5,0.0,0.7,1.0,4.7
1,2019-20,24.0,CHO,NBA,PG,63.0,53.0,35.1,5.8,15.3,0.382,3.5,9.3,0.373,2.4,6.0,0.397,0.495,3.0,3.7,0.82,0.7,2.7,3.4,7.5,1.0,0.2,2.9,1.8,18.2
2,2020-21,25.0,CHO,NBA,PG,55.0,44.0,30.2,4.6,12.2,0.377,3.3,8.7,0.375,1.3,3.5,0.38,0.51,2.4,2.9,0.842,0.4,2.3,2.7,5.4,0.9,0.1,1.5,1.4,14.8
3,2021-22,26.0,NOP,NBA,PG,4.0,4.0,33.3,5.8,13.3,0.434,3.0,8.3,0.364,2.8,5.0,0.55,0.547,3.3,4.3,0.765,0.5,2.8,3.3,5.0,1.0,0.3,3.3,1.3,17.8
4,Career,,,NBA,,168.0,104.0,27.9,4.3,11.3,0.377,2.6,7.2,0.364,1.6,4.1,0.4,0.494,2.2,2.7,0.819,0.5,2.1,2.6,5.4,0.8,0.1,1.8,1.5,13.4
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3 seasons,,CHO,NBA,,164.0,100.0,27.7,4.2,11.3,0.376,2.6,7.2,0.364,1.6,4.1,0.395,0.492,2.2,2.7,0.822,0.5,2.1,2.6,5.4,0.8,0.1,1.8,1.5,13.3
7,1 season,,NOP,NBA,,4.0,4.0,33.3,5.8,13.3,0.434,3.0,8.3,0.364,2.8,5.0,0.55,0.547,3.3,4.3,0.765,0.5,2.8,3.3,5.0,1.0,0.3,3.3,1.3,17.8
