,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,42,Vin Baker,C,6-11,232,"November 23, 1971",United States,11,University of Hartford
1,12,Andre Barrett,PG,5-10,172,"February 21, 1982",United States,R,Seton Hall
2,20,Jon Barry,SG,6-4,195,"July 25, 1969",United States,12,"University of the Pacific, Georgia Tech"
3,40,Ryan Bowen,SF,6-7,215,"November 20, 1975",United States,5,Iowa
4,32,Torraye Braggs,PF,6-8,245,"May 15, 1976",United States,1,Xavier
5,4,Reece Gaines,PG,6-6,205,"January 7, 1981",United States,1,Louisville
6,5,Juwan Howard,PF,6-9,240,"February 7, 1973",United States,10,Michigan
7,21,Jim Jackson,SF,6-6,220,"October 14, 1970",United States,12,Ohio State
8,13,Mike James,PG,6-2,188,"June 23, 1975",United States,3,Duquesne
9,10,Brandin Knight,PG,6-0,180,"December 16, 1981",United States,R,Pitt
10,10,Tyronn Lue,PG,6-0,175,"May 3, 1977",United States,6,Nebraska
11,1,Tracy McGrady,SF,6-8,210,"May 24, 1979",United States,7,
12,11,Yao Ming,C,7-6,310,"September 12, 1980",China,2,
13,55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",Congo - Kinshasa,13,Georgetown
14,9,Bostjan Nachbar,SF,6-9,221,"July 3, 1980",Slovenia,2,
15,25,Moochie Norris,PG,6-1,175,"July 27, 1973",United States,7,"Auburn, University of West Florida"
16,35,Scott Padgett,PF,6-9,240,"April 19, 1976",United States,5,Kentucky
17,31,Rod Strickland,PG,6-3,175,"July 11, 1966",United States,16,DePaul
18,3,Bob Sura,PG,6-5,200,"March 25, 1973",United States,9,Florida State
19,2,Maurice Taylor,PF,6-9,260,"October 30, 1976",United States,6,"Michigan, LSU"
20,17,Charlie Ward,PG,6-2,190,"October 12, 1970",United States,10,Florida State
21,30,Clarence Weatherspoon,PF,6-6,240,"September 8, 1970",United States,12,Southern Miss
22,7,David Wesley,SG,6-0,190,"November 14, 1970",United States,11,Baylor
