,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19855,2975,6552,0.454,384,1078,0.356,2591,5474,0.473,1720,2227,0.772,1008,2454,3462,1804,600,448,1223,1673,8054
1,Team/G,,242.1,36.3,79.9,0.454,4.7,13.1,0.356,31.6,66.8,0.473,21.0,27.2,0.772,12.3,29.9,42.2,22.0,7.3,5.5,14.9,20.4,98.2
2,Lg Rank,,5,22,21,16.0,27,28,18.0,8,6,21.0,5,7,7.0,7,21,11,12,14,4,24,11,15
3,Year/Year,,-0.1%,5.1%,2.8%,0.01,12.6%,3.9%,0.028,4.1%,2.6%,0.007,2.6%,1.1%,0.011,3.3%,6.1%,5.3%,14.7%,-1.5%,0.4%,-6.4%,-15.1%,4.9%
4,Opponent,82.0,19855,3115,6733,0.463,512,1413,0.362,2603,5320,0.489,1461,1943,0.752,968,2386,3354,1825,615,421,1123,1793,8203
5,Opponent/G,,242.1,38.0,82.1,0.463,6.2,17.2,0.362,31.7,64.9,0.489,17.8,23.7,0.752,11.8,29.1,40.9,22.3,7.5,5.1,13.7,21.9,100.0
6,Lg Rank,,5,20,22,21.0,10,7,16.0,24,21,18.0,10,10,12.0,24,5,11,20,16,24,16,9,15
7,Year/Year,,-0.1%,5.5%,6.3%,-0.004,10.1%,14.3%,-0.014,4.6%,4.3%,0.001,-14.0%,-16.1%,0.018,2.1%,0.7%,1.1%,5.4%,3.0%,0.0%,-9.9%,-3.2%,1.6%
