,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,2,Lonzo Ball,PG,6-6,190,"October 27, 1997",United States,1,UCLA
1,11,Michael Beasley,PF,6-9,235,"January 9, 1989",United States,10,Kansas State
2,17,Isaac Bonga,PG,6-8,180,"November 8, 1999",Germany,R,
3,35,Reggie Bullock,SG,6-6,205,"March 16, 1991",United States,5,UNC
4,1,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",United States,5,Georgia
5,4,Alex Caruso,PG,6-4,186,"February 28, 1994",United States,1,Texas A&M
6,5,Tyson Chandler,C,7-0,235,"October 2, 1982",United States,17,
7,3,Josh Hart,SG,6-5,215,"March 6, 1995",United States,1,Villanova
8,20,Andre Ingram,SG,6-3,190,"November 19, 1985",United States,1,American University
9,14,Brandon Ingram,SF,6-8,190,"September 2, 1997",United States,2,Duke
10,23,LeBron James,SF,6-9,250,"December 30, 1984",United States,15,
11,10,Jemerrio Jones,SF,6-5,174,"April 9, 1995",United States,R,"Hill College, New Mexico State"
12,0,Kyle Kuzma,PF,6-10,221,"July 24, 1995",United States,1,Utah
13,10,Scott Machado,PG,6-1,205,"June 8, 1990",United States,1,Iona College
14,7,JaVale McGee,C,7-0,270,"January 19, 1988",United States,10,Nevada
15,31,Mike Muscala,PF,6-10,240,"July 1, 1991",United States,5,Bucknell
16,10,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",Ukraine,R,Kansas
17,9,Rajon Rondo,PG,6-1,180,"February 22, 1986",United States,12,Kentucky
18,6,Lance Stephenson,SG,6-6,230,"September 5, 1990",United States,8,Cincinnati
19,15,Moritz Wagner,C,6-11,245,"April 26, 1997",Germany,R,Michigan
20,19,Johnathan Williams,C,6-9,228,"May 22, 1995",United States,R,"Missouri, Gonzaga"
21,40,Ivica Zubac,C,7-0,240,"March 18, 1997",Bosnia & Herzegovina,2,
