,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19730,3182,7042,0.452,844,2405,0.351,2338,4637,0.504,1271,1678,0.757,722,2692,3414,1921,622,400,1192,1579,8479
1,Team/G,,240.6,38.8,85.9,0.452,10.3,29.3,0.351,28.5,56.5,0.504,15.5,20.5,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4
2,Lg Rank,,23,20,17,19.0,17,14,28.0,19,18,17.0,23,21,21.0,25,24,26,11,20,13,17,11,24
3,Year/Year,,-0.4%,1.4%,-1.3%,0.012,20.4%,12.4%,0.023,-4.1%,-7.1%,0.016,-2.9%,-4.3%,0.011,-10.5%,-1.5%,-3.6%,5.5%,7.2%,1.0%,9.3%,-0.3%,2.3%
4,Opponent,82.0,19730,3355,7176,0.468,819,2260,0.362,2536,4916,0.516,1345,1741,0.773,868,2892,3760,1998,639,402,1166,1556,8874
5,Opponent/G,,240.6,40.9,87.5,0.468,10.0,27.6,0.362,30.9,60.0,0.516,16.4,21.2,0.773,10.6,35.3,45.9,24.4,7.8,4.9,14.2,19.0,108.2
6,Lg Rank,,23,22,21,20.0,8,8,14.0,29,26,17.0,16,14,21.0,27,26,28,23,18,19,17,24,21
7,Year/Year,,-0.4%,1.5%,1.3%,0.001,3.1%,4.6%,-0.005,1.0%,-0.1%,0.006,-5.6%,-6.4%,0.006,8.6%,-1.4%,0.7%,3.2%,2.7%,-4.1%,9.1%,1.6%,0.5%
