,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19855,2976,6566,0.453,507,1335,0.38,2469,5231,0.472,1561,2115,0.738,929,2448,3377,1769,597,270,1197,1902,8020
1,Team/G,,242.1,36.3,80.1,0.453,6.2,16.3,0.38,30.1,63.8,0.472,19.0,25.8,0.738,11.3,29.9,41.2,21.6,7.3,3.3,14.6,23.2,97.8
2,Lg Rank,,13,12,10,18.0,11,17,4.0,16,14,21.0,22,20,18.0,12,14,16,8,12,30,19,19,13
3,Year/Year,,0.4%,0.4%,-0.2%,0.003,56.0%,44.3%,0.028,-6.4%,-7.5%,0.005,-9.2%,-5.1%,-0.033,-5.7%,1.8%,-0.4%,2.8%,12.9%,-6.6%,5.7%,5.8%,0.6%
4,Opponent,82.0,19855,2972,6383,0.466,490,1385,0.354,2482,4998,0.497,1671,2237,0.747,832,2475,3307,1847,606,414,1182,1937,8105
5,Opponent/G,,242.1,36.2,77.8,0.466,6.0,16.9,0.354,30.3,61.0,0.497,20.4,27.3,0.747,10.1,30.2,40.3,22.5,7.4,5.0,14.4,23.6,98.8
6,Lg Rank,,13,19,9,24.0,17,22,13.0,15,7,26.0,21,21,21.0,4,19,11,25,22,22,14,6,19
7,Year/Year,,0.4%,-4.1%,-4.4%,0.002,5.8%,2.7%,0.011,-5.8%,-6.2%,0.002,7.2%,10.6%,-0.024,-11.0%,2.6%,-1.2%,-5.4%,-0.8%,11.9%,10.8%,-0.8%,-1.4%
