,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,17,Lou Amundson,PF,6-9,220,"December 7, 1982",United States,6,UNLV
1,11,JJ Barea,PG,5-10,180,"June 26, 1984",Puerto Rico,6,Northeastern University
2,10,Chase Budinger,SF,6-7,209,"May 22, 1988",United States,3,Arizona
3,5,Will Conroy,PG,6-2,195,"December 8, 1982",United States,2,Washington
4,33,Dante Cunningham,PF,6-8,230,"April 22, 1987",United States,3,Villanova
5,15,Mickael Gelabale,SF,6-7,215,"May 22, 1983",Guadeloupe,2,
6,32,Lazar Hayward,SF,6-6,225,"November 26, 1986",United States,2,Marquette
7,5,Josh Howard,SF,6-7,210,"April 28, 1980",United States,9,Wake Forest
8,20,Chris Johnson,C,6-11,210,"July 15, 1985",United States,2,LSU
9,47,Andrei Kirilenko,SF,6-9,220,"February 18, 1981",Russia,10,
10,8,Malcolm Lee,SG,6-5,200,"May 22, 1990",United States,1,UCLA
11,42,Kevin Love,PF,6-8,251,"September 7, 1988",United States,4,UCLA
12,14,Nikola Pekovic,C,6-11,307,"January 3, 1986",Montenegro,2,
13,13,Luke Ridnour,SG,6-2,175,"February 13, 1981",United States,9,Oregon
14,3,Brandon Roy,SG,6-6,215,"July 23, 1984",United States,5,Washington
15,9,Ricky Rubio,PG,6-3,190,"October 21, 1990",Spain,1,
16,1,Alexey Shved,SG,6-6,190,"December 16, 1988",Russia,R,
17,34,Greg Stiemsma,C,6-11,260,"September 26, 1985",United States,1,Wisconsin
18,7,Derrick Williams,PF,6-8,240,"May 25, 1991",United States,1,Arizona
