,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,8,Bismack Biyombo,C,6-8,255,"August 28, 1992",Congo - Kinshasa,3,
1,30,Troy Daniels,SG,6-4,200,"July 15, 1991",United States,1,VCU
2,19,PJ Hairston,SG,6-6,230,"December 24, 1992",United States,R,UNC
3,9,Gerald Henderson,SG,6-5,215,"December 9, 1987",United States,5,Duke
4,25,Al Jefferson,C,6-10,289,"January 4, 1985",United States,10,
5,14,Michael Kidd-Gilchrist,SF,6-6,232,"September 26, 1993",United States,2,Kentucky
6,54,Jason Maxiell,PF,6-7,260,"February 18, 1983",United States,9,Cincinnati
7,12,Gary Neal,SG,6-4,210,"October 3, 1984",United States,4,"La Salle, Towson University"
8,5,Jannero Pargo,PG,6-1,175,"October 22, 1979",United States,10,Arkansas
9,22,Brian Roberts,PG,6-1,173,"December 3, 1985",United States,2,Dayton
10,1,Lance Stephenson,SG,6-6,230,"September 5, 1990",United States,4,Cincinnati
11,44,Jeffery Taylor,SF,6-7,225,"May 23, 1989",Sweden,2,Vanderbilt
12,11,Noah Vonleh,PF,6-10,257,"August 24, 1995",United States,R,Indiana
13,15,Kemba Walker,PG,6-0,184,"May 8, 1990",United States,3,UConn
14,2,Marvin Williams,PF,6-8,237,"June 19, 1986",United States,9,UNC
15,7,Mo Williams,PG,6-1,198,"December 19, 1982",United States,11,Alabama
16,40,Cody Zeller,C,6-11,240,"October 5, 1992",United States,1,Indiana
