Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020-21,22.0,NYK,NBA,PF,62,683,12.7,0.574,0.407,0.124,4.2,17.6,11.0,6.4,1.2,2.1,9.4,15.9,0.5,1.0,1.5,0.109,-1.5,0.5,-1.0,0.2
2021-22,23.0,NYK,NBA,PF,18,276,20.3,0.618,0.287,0.366,6.9,17.7,12.4,11.6,1.1,5.2,12.0,21.2,0.7,0.3,1.0,0.172,0.7,0.7,1.4,0.2
Career,,,NBA,,80,959,14.9,0.589,0.368,0.203,5.0,17.6,11.4,7.9,1.2,3.0,10.4,17.4,1.2,1.3,2.5,0.127,-0.8,0.5,-0.3,0.4
