,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,33,Shareef Abdur-Rahim,PF,6-9,225,"December 11, 1976",United States,8,California
1,1,Derek Anderson,SG,6-5,194,"July 18, 1974",United States,7,"Ohio State, Kentucky"
2,4,Maurice Baker,PG,6-1,175,"July 28, 1979",United States,R,Oklahoma State
3,4,Geno Carlisle,SG,6-3,180,"August 13, 1976",United States,R,"Northwestern, California"
4,14,Richie Frahm,SG,6-5,210,"August 14, 1977",United States,1,Gonzaga
5,38,Viktor Khryapa,SF,6-9,210,"August 3, 1982",Ukraine,R,
6,23,Darius Miles,SF,6-9,210,"October 9, 1981",United States,4,
7,25,Travis Outlaw,SF,6-9,210,"September 18, 1984",United States,1,
8,21,Ruben Patterson,SF,6-5,224,"July 31, 1975",United States,6,Cincinnati
9,10,Joel Przybilla,C,7-1,255,"October 10, 1979",United States,4,Minnesota
10,50,Zach Randolph,PF,6-9,250,"July 16, 1981",United States,3,Michigan State
11,42,Theo Ratliff,C,6-10,225,"April 17, 1973",United States,9,Wyoming
12,5,Ha Seung-Jin,C,7-3,305,"August 4, 1985",South Korea,R,
13,3,Damon Stoudamire,PG,5-10,171,"September 3, 1973",United States,9,Arizona
14,31,Sebastian Telfair,PG,6-0,165,"June 9, 1985",United States,R,
15,12,James Thomas,PF,6-8,235,"November 22, 1980",United States,R,Texas
16,19,Nick Van Exel,SG,6-1,170,"November 27, 1971",United States,11,"Trinity Valley CC, Cincinnati"
