StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,13.0,3195,543,1184,0.459,153,430,0.356,390,754,0.517,191,261,0.732,132,472,604,311,118,82,225,269,1430
Team/G,,245.8,41.8,91.1,0.459,11.8,33.1,0.356,30.0,58.0,0.517,14.7,20.1,0.732,10.2,36.3,46.5,23.9,9.1,6.3,17.3,20.7,110.0
Lg Rank,,2,5,7,11.0,17,23,10.0,4,7,16.0,17,14,27.0,19,9,8,9,8,2,29,27,7
Year/Year,,1.4%,2.8%,5.8%,-0.013,6.5%,5.9%,0.002,1.5%,5.7%,-0.022,-14.8%,-13.9%,-0.007,5.2%,5.0%,5.0%,-3.0%,16.3%,17.7%,13.8%,8.2%,0.4%
Opponent,13.0,3195,535,1198,0.447,165,495,0.333,370,703,0.526,225,315,0.714,160,474,634,331,124,43,222,256,1460
Opponent/G,,245.8,41.2,92.2,0.447,12.7,38.1,0.333,28.5,54.1,0.526,17.3,24.2,0.714,12.3,36.5,48.8,25.5,9.5,3.3,17.1,19.7,112.3
Lg Rank,,2,24,27,15.0,20,23,13.0,20,18,21.0,28,30,2.0,28,23,26,24,26,1,4,5,27
Year/Year,,1.4%,3.5%,6.7%,-0.014,11.7%,18.1%,-0.019,0.3%,-0.2%,0.002,8.9%,18.3%,-0.061,39.8%,9.8%,16.0%,3.2%,15.8%,-27.2%,12.3%,-7.3%,5.2%
