,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,65.0,15675,2573,5762,0.447,793,2282,0.348,1780,3480,0.511,1006,1332,0.755,680,2041,2721,1510,652,265,1005,1417,6945
1,Team/G,,241.2,39.6,88.6,0.447,12.2,35.1,0.348,27.4,53.5,0.511,15.5,20.5,0.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8
2,Lg Rank,,29,25,16,26.0,14,11,22.0,21,19,25.0,28,27,21.0,13,30,29,23,1,26,27,24,27
3,Year/Year,,-0.7%,-0.6%,0.9%,-0.007,34.3%,35.6%,-0.003,-10.9%,-13.6%,0.015,-4.4%,-0.9%,-0.028,19.5%,-8.0%,-2.4%,6.1%,36.4%,-4.8%,9.4%,7.5%,1.8%
4,Opponent,65.0,15675,2568,5364,0.479,726,2057,0.353,1842,3307,0.557,1283,1691,0.759,660,2299,2959,1653,530,384,1187,1246,7145
5,Opponent/G,,241.2,39.5,82.5,0.479,11.2,31.6,0.353,28.3,50.9,0.557,19.7,26.0,0.759,10.2,35.4,45.5,25.4,8.2,5.9,18.3,19.2,109.9
6,Lg Rank,,29,7,1,27.0,4,4,12.0,14,4,28.0,28,28,5.0,16,22,20,25,24,28,1,29,14
7,Year/Year,,-0.7%,-6.5%,-7.5%,0.005,-7.5%,-4.2%,-0.013,-6.1%,-9.4%,0.02,17.5%,18.2%,-0.004,1.0%,-2.8%,-2.0%,-0.4%,11.4%,2.4%,37.1%,2.5%,-3.0%
