,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,33,Nicolas Batum,SF,6-8,230,"December 14, 1988",France,12,
1,21,Patrick Beverley,PG,6-1,180,"July 12, 1988",United States,8,Arkansas
2,7,Amir Coffey,SG,6-7,210,"June 17, 1997",United States,1,Minnesota
3,15,DeMarcus Cousins,C,6-10,270,"August 13, 1990",United States,9,Kentucky
4,11,Yogi Ferrell,PG,6-0,178,"May 9, 1993",United States,4,Indiana
5,24,Malik Fitts,PF,6-8,230,"July 4, 1997",United States,R,"South Florida, Saint Mary's"
6,13,Paul George,SF,6-8,220,"May 2, 1990",United States,10,Fresno State
7,9,Serge Ibaka,C,6-10,235,"September 18, 1989",Congo - Brazzaville,11,
8,1,Reggie Jackson,SG,6-2,208,"April 16, 1990",Italy,9,Boston College
9,25,Mfiondu Kabengele,PF,6-9,250,"August 14, 1997",Canada,1,Florida State
10,5,Luke Kennard,SG,6-5,206,"June 24, 1996",United States,3,Duke
11,2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",United States,9,San Diego State
12,14,Terance Mann,SG,6-5,215,"October 18, 1996",United States,1,Florida State
13,8,Marcus Morris,PF,6-8,218,"September 2, 1989",United States,9,Kansas
14,10,Daniel Oturu,C,6-8,240,"September 20, 1999",United States,R,Minnesota
15,54,Patrick Patterson,PF,6-8,235,"March 14, 1989",United States,10,Kentucky
16,4,Rajon Rondo,PG,6-1,180,"February 22, 1986",United States,14,Kentucky
17,0,Jay Scrubb,SG,6-5,220,"September 1, 2000",United States,R,John A. Logan College
18,23,Lou Williams,PG,6-1,175,"October 27, 1986",United States,15,
19,40,Ivica Zubac,C,7-0,240,"March 18, 1997",Bosnia & Herzegovina,4,
