StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,20.0,4800,809,1746,0.463,214,576,0.372,595,1170,0.509,331,394,0.84,177,689,866,457,172,86,261,378,2163
Team/G,,240.0,40.5,87.3,0.463,10.7,28.8,0.372,29.8,58.5,0.509,16.6,19.7,0.84,8.9,34.5,43.3,22.9,8.6,4.3,13.1,18.9,108.2
Lg Rank,,8,11,21,7.0,28,29,4.0,4,3,22.0,9,16,1.0,26,22,28,17,8,23,5,13,13
Year/Year,,-0.6%,-4.0%,-1.5%,-0.012,-14.8%,-15.2%,0.002,0.5%,7.1%,-0.033,19.8%,12.8%,0.049,-8.1%,-2.5%,-3.7%,-14.6%,28.5%,1.8%,-13.7%,-0.1%,-2.3%
Opponent,20.0,4800,754,1705,0.442,224,641,0.349,530,1064,0.498,344,423,0.813,190,702,892,423,151,113,325,355,2076
Opponent/G,,240.0,37.7,85.3,0.442,11.2,32.1,0.349,26.5,53.2,0.498,17.2,21.2,0.813,9.5,35.1,44.6,21.2,7.6,5.7,16.3,17.8,103.8
Lg Rank,,8,3,5,13.0,7,5,18.0,8,17,6.0,28,22,30.0,7,15,12,2,13,25,4,27,7
Year/Year,,-0.6%,-9.0%,-2.8%,-0.03,-2.7%,-0.9%,-0.007,-11.4%,-3.9%,-0.042,0.0%,-4.8%,0.039,9.6%,4.9%,5.8%,-12.3%,-11.5%,11.8%,27.6%,0.1%,-7.0%
