,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,9,Tony Allen,SG,6-4,213,"January 11, 1982",United States,12,"Butler County Community College, Oklahoma State"
1,4,Wade Baldwin,PG,6-4,200,"March 29, 1996",United States,R,Vanderbilt
2,15,Vince Carter,SF,6-6,220,"January 26, 1977",United States,18,UNC
3,11,Mike Conley,PG,6-1,175,"October 11, 1987",United States,9,Ohio State
4,30,Troy Daniels,SG,6-4,200,"July 15, 1991",United States,3,VCU
5,23,Deyonta Davis,C,6-11,237,"December 2, 1996",United States,R,Michigan State
6,16,Toney Douglas,PG,6-2,195,"March 16, 1986",United States,7,"Auburn, Florida State"
7,8,James Ennis,SF,6-6,215,"July 1, 1990",United States,2,Cal State Long Beach
8,33,Marc Gasol,C,6-11,255,"January 29, 1985",Spain,8,
9,0,JaMychal Green,PF,6-8,227,"June 21, 1990",United States,2,Alabama
10,5,Andrew Harrison,PG,6-6,213,"October 28, 1994",United States,R,Kentucky
11,1,Jarell Martin,PF,6-10,239,"May 24, 1994",United States,1,LSU
12,25,Chandler Parsons,SF,6-9,230,"October 25, 1988",United States,5,Florida
13,50,Zach Randolph,PF,6-9,250,"July 16, 1981",United States,15,Michigan State
14,7,Wayne Selden,SG,6-5,230,"September 30, 1994",United States,R,Kansas
15,10,Troy Williams,SF,6-7,218,"December 30, 1994",United States,R,Indiana
16,34,Brandan Wright,PF,6-10,210,"October 5, 1987",United States,8,UNC
