,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0,Gilbert Arenas,PG,6-4,191,"January 6, 1982",United States,5,Arizona
1,32,Andray Blatche,PF,6-11,235,"August 22, 1986",United States,1,
2,52,Calvin Booth,C,6-11,230,"May 7, 1976",United States,7,Penn State
3,3,Caron Butler,SF,6-7,228,"March 13, 1980",United States,4,UConn
4,6,Antonio Daniels,SG,6-4,195,"March 19, 1975",United States,9,Bowling Green
5,42,Mike Hall,SF,6-8,230,"June 5, 1984",United States,R,George Washington
6,24,Jarvis Hayes,SF,6-7,220,"August 9, 1981",United States,3,"Western Carolina University, Georgia"
7,33,Brendan Haywood,C,7-0,268,"November 27, 1979",United States,5,UNC
8,4,Antawn Jamison,PF,6-8,223,"June 12, 1976",United States,8,UNC
9,54,James Lang,C,6-10,285,"October 17, 1983",United States,R,
10,8,Roger Mason,SG,6-5,200,"September 10, 1980",United States,2,Virginia
11,51,Michael Ruffin,PF,6-9,246,"January 21, 1977",United States,6,Tulsa
12,9,Darius Songaila,PF,6-9,248,"February 14, 1978",Lithuania,3,Wake Forest
13,2,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",United States,6,
14,21,Donell Taylor,SG,6-6,180,"July 26, 1982",United States,1,"Okaloosa-Walton Community College, UAB"
15,36,Etan Thomas,C,6-9,256,"April 1, 1978",United States,5,Syracuse
