,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Trevor Ariza,SF,6-8,215,"June 30, 1985",United States,10,UCLA
1,2,Patrick Beverley,PG,6-1,180,"July 12, 1988",United States,2,Arkansas
2,10,Tarik Black,C,6-9,250,"November 22, 1991",United States,R,"Memphis, Kansas"
3,33,Corey Brewer,SF,6-9,186,"March 5, 1986",United States,7,Florida
4,0,Isaiah Canaan,PG,6-0,201,"May 21, 1991",United States,1,Murray State
5,15,Clint Capela,C,6-10,240,"May 18, 1994",Switzerland,R,
6,30,Troy Daniels,SG,6-4,200,"July 15, 1991",United States,1,VCU
7,8,Joey Dorsey,PF,6-8,268,"December 16, 1983",United States,3,Memphis
8,32,Francisco Garcia,SF,6-7,195,"December 31, 1981",Dominican Republic,9,Louisville
9,13,James Harden,SG,6-5,220,"August 26, 1989",United States,5,Arizona State
10,12,Dwight Howard,C,6-10,265,"December 8, 1985",United States,10,
11,3,Nick Johnson,SG,6-3,202,"December 22, 1992",United States,R,Arizona
12,6,Terrence Jones,PF,6-9,252,"January 9, 1992",United States,2,Kentucky
13,32,KJ McDaniels,SG,6-6,205,"February 9, 1993",United States,R,Clemson
14,20,Donatas Motiejunas,PF,7-0,222,"September 20, 1990",Lithuania,2,
15,16,Kostas Papanikolaou,SF,6-8,225,"July 31, 1990",Greece,R,
16,9,Pablo Prigioni,PG,6-3,185,"May 17, 1977",Argentina,2,
17,88,Alexey Shved,SG,6-6,190,"December 16, 1988",Russia,2,
18,5,Josh Smith,PF,6-9,225,"December 5, 1985",United States,10,
19,31,Jason Terry,SG,6-2,185,"September 15, 1977",United States,15,Arizona
