,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19805,2939,6590,0.446,723,1936,0.373,2216,4654,0.476,1363,1782,0.765,907,2318,3225,1782,661,387,1188,1784,7964
1,Team/G,,241.5,35.8,80.4,0.446,8.8,23.6,0.373,27.0,56.8,0.476,16.6,21.7,0.765,11.1,28.3,39.3,21.7,8.1,4.7,14.5,21.8,97.1
2,Lg Rank,,15,9,12,7.0,1,1,2.0,28,29,5.0,25,24,10.0,23,28,29,11,11,18,10,19,6
3,Year/Year,,-0.3%,1.8%,-0.1%,0.009,58.6%,50.0%,0.02,-8.8%,-12.3%,0.018,2.9%,0.1%,0.021,-5.8%,-2.8%,-3.7%,0.4%,-2.7%,31.2%,9.5%,4.2%,5.4%
4,Opponent,82.0,19805,2980,6622,0.45,486,1394,0.349,2494,5228,0.477,1570,2028,0.774,1068,2430,3498,1728,629,387,1211,1658,8016
5,Opponent/G,,241.5,36.3,80.8,0.45,5.9,17.0,0.349,30.4,63.8,0.477,19.1,24.7,0.774,13.0,29.6,42.7,21.1,7.7,4.7,14.8,20.2,97.8
6,Lg Rank,,15,22,15,22.0,26,27,16.0,17,10,24.0,21,19,29.0,25,9,16,13,10,9,17,23,24
7,Year/Year,,-0.3%,3.8%,3.1%,0.003,3.0%,1.7%,0.004,4.0%,3.5%,0.002,16.2%,11.4%,0.032,13.9%,-1.3%,2.9%,1.5%,25.8%,-5.4%,0.2%,-0.8%,6.0%
