StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,8,5,7,6,2.23,0.05,2.28,107.4,105.1,97.2,0.233,0.377,0.527,15.2,24.1,0.178,0.503,13.4,73.5,0.132,Quicken Loans Arena,85344
Lg Rank,3,19,8,11,11.0,15.0,13.0,17.0,8.0,26.0,9.0,22.0,8.0,29.0,8.0,10.0,8.0,13.0,28.0,1.0,,22
