StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,10,10,11,9,1.15,-1.22,-0.07,107.3,106.1,96.8,0.231,0.408,0.502,12.3,22.6,0.186,0.507,12.9,79.1,0.192,TD Garden,153248
Lg Rank,13,11,13,12,12.0,27.0,19.0,20.0,8.0,25.0,13.0,14.0,25.0,9.0,15.0,10.0,11.0,14.0,5.0,27.0,,19
