StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,7,6,7,6,0.46,-0.88,-0.42,110.8,110.4,97.3,0.24,0.424,0.525,12.2,23.2,0.181,0.518,12.0,76.4,0.167,Madison Square Garden (IV),104898
Lg Rank,15,17,16,13,15.0,23.0,17.0,5.0,24.0,25.0,5.0,9.0,12.0,10.0,12.0,12.0,18.0,24.0,20.0,14.0,,14
