,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,40,Earl Barron,C,7-0,250,"August 14, 1981",United States,5,Memphis
1,34,Keith Benson,C,6-11,240,"August 13, 1988",United States,R,Oakland
2,15,Andris Biedrins,C,6-11,240,"April 2, 1986",Latvia,7,
3,54,Kwame Brown,C,6-11,270,"March 10, 1982",United States,10,
4,30,Stephen Curry,PG,6-3,185,"March 14, 1988",United States,2,Davidson
5,8,Monta Ellis,SG,6-3,185,"October 26, 1985",United States,6,
6,32,Mickell Gladness,PF,6-11,220,"July 26, 1986",United States,R,Alabama A&M University
7,44,Richard Jefferson,SF,6-7,233,"June 21, 1980",United States,10,Arizona
8,22,Charles Jenkins,PG,6-3,220,"February 28, 1989",United States,R,Hofstra
9,10,David Lee,PF,6-9,245,"April 29, 1983",United States,6,Florida
10,5,Dominic McGuire,PF,6-9,220,"October 20, 1985",United States,4,"California, Fresno State"
11,31,Mikki Moore,C,6-11,225,"November 4, 1975",United States,12,Nebraska
12,2,Nate Robinson,PG,5-9,180,"May 31, 1984",United States,6,Washington
13,4,Brandon Rush,SF,6-6,220,"July 7, 1985",United States,3,Kansas
14,12,Ish Smith,PG,6-0,175,"July 5, 1988",United States,1,Wake Forest
15,11,Klay Thompson,SG,6-6,215,"February 8, 1990",United States,R,Washington State
16,3,Jeremy Tyler,C,6-10,260,"June 21, 1991",United States,R,
17,20,Ekpe Udoh,C,6-10,245,"May 20, 1987",United States,1,"Michigan, Baylor"
18,33,Chris Wright,SF,6-8,226,"September 30, 1988",United States,R,Dayton
19,1,Dorell Wright,SF,6-9,205,"December 2, 1985",United States,7,
