,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,2,Al-Farouq Aminu,PF,6-8,220,"September 21, 1990",us,9,Wake Forest
1,14,DJ Augustin,PG,5-11,183,"November 10, 1987",us,11,Texas
2,5,Mohamed Bamba,C,7-0,231,"May 12, 1998",us,1,Texas
3,24,Khem Birch,C,6-9,233,"September 28, 1992",ca,2,"Pitt, UNLV"
4,7,Michael Carter-Williams,SG,6-5,190,"October 10, 1991",us,6,Syracuse
5,12,Gary Clark,SF,6-6,225,"November 16, 1994",us,1,Cincinnati
6,11,James Ennis,SG,6-6,215,"July 1, 1990",us,5,Cal State Long Beach
7,10,Evan Fournier,SF,6-7,205,"October 29, 1992",fr,7,
8,35,Melvin Frazier,SG,6-5,215,"August 30, 1996",us,1,Tulane
9,20,Markelle Fultz,PG,6-3,209,"May 29, 1998",us,2,Washington
10,00,Aaron Gordon,PF,6-8,235,"September 16, 1995",us,5,Arizona
11,1,Jonathan Isaac,PF,6-11,230,"October 3, 1997",us,2,Florida State
12,25,Wesley Iwundu,SF,6-6,195,"December 20, 1994",us,2,Kansas State
13,11,Amile Jefferson,PF,6-9,222,"May 7, 1993",us,1,Duke
14,13,BJ Johnson,SF,6-7,200,"December 21, 1995",us,1,"Syracuse, La Salle"
15,23,Vic Law,PF,6-7,200,"December 19, 1995",us,R,Northwestern
16,4,Josh Magette,PG,6-1,160,"November 28, 1989",us,1,Alabama-Huntsville
17,"8, 31",Terrence Ross,SG,6-6,206,"February 5, 1991",us,7,Washington
18,9,Nikola Vucevic,C,6-11,260,"October 24, 1990",ch,8,USC
