,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,89.8,0.287,0.216,0.467,13.0,24.7,0.217,0.481,14.7,74.8,0.236,Bradley Center,631912
1,Lg Rank,21,10,18,18,17.0,21.0,17.0,30.0,4.0,25.0,20.0,17.0,30.0,10.0,22.0,21.0,6.0,4.0,8.0,21.0,,23
