Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,19.0,CHI,NBA,PG,65,1,25.8,4.8,12.2,0.394,2.0,5.8,0.354,2.8,6.4,0.43,0.478,1.6,2.0,0.791,0.4,3.1,3.5,2.7,0.8,0.1,1.7,1.8,13.2
2020-21,20.0,CHI,NBA,PG,69,54,31.2,5.4,13.1,0.416,2.4,6.6,0.359,3.1,6.5,0.473,0.506,1.9,2.1,0.901,0.4,3.7,4.1,4.8,0.6,0.2,2.3,2.6,15.1
2021-22,21.0,CHI,NBA,PG,7,1,16.7,2.6,6.9,0.375,0.9,3.1,0.273,1.7,3.7,0.462,0.438,0.1,0.4,0.333,0.0,2.0,2.0,1.4,0.1,0.0,0.4,1.6,6.1
Career,,,NBA,,141,56,28.0,5.0,12.4,0.405,2.1,6.0,0.354,2.9,6.3,0.453,0.491,1.6,1.9,0.843,0.4,3.3,3.7,3.6,0.6,0.1,1.9,2.2,13.8
