,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Kyle Anderson,SF,6-9,230,"September 20, 1993",United States,R,UCLA
1,11,Jeff Ayres,PF,6-9,240,"April 29, 1987",United States,4,Arizona State
2,16,Aron Baynes,C,6-10,260,"December 9, 1986",New Zealand,2,Washington State
3,3,Marco Belinelli,SG,6-5,220,"March 25, 1986",Italy,7,
4,15,Matt Bonner,PF,6-10,235,"April 5, 1980",United States,10,Florida
5,23,Austin Daye,SF,6-11,220,"June 5, 1988",United States,5,Gonzaga
6,33,Boris Diaw,PF,6-8,250,"April 16, 1982",France,11,
7,21,Tim Duncan,C,6-11,250,"April 25, 1976",U.S. Virgin Islands,17,Wake Forest
8,20,Manu Ginobili,SG,6-6,205,"July 28, 1977",Argentina,12,
9,14,Danny Green,SG,6-6,215,"June 22, 1987",United States,5,UNC
10,41,JaMychal Green,PF,6-8,227,"June 21, 1990",United States,R,Alabama
11,5,Cory Joseph,PG,6-3,200,"August 20, 1991",Canada,3,Texas
12,2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",United States,3,San Diego State
13,8,Patty Mills,PG,6-1,180,"August 11, 1988",Australia,5,Saint Mary's
14,9,Tony Parker,PG,6-2,185,"May 17, 1982",Belgium,13,
15,22,Tiago Splitter,C,6-11,245,"January 1, 1985",Brazil,4,
16,55,Reggie Williams,SF,6-6,205,"September 14, 1986",United States,5,Virginia Military Institute
