StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,14.0,3360,552,1174,0.47,194,494,0.393,358,680,0.526,221,277,0.798,99,527,626,351,92,73,212,258,1519
Team/G,,240.0,39.4,83.9,0.47,13.9,35.3,0.393,25.6,48.6,0.526,15.8,19.8,0.798,7.1,37.6,44.7,25.1,6.6,5.2,15.1,18.4,108.5
Lg Rank,,5,21,30,4.0,5,17,1.0,23,26,12.0,12,16,7.0,30,3,23,5,28,12,19,11,15
Year/Year,,-0.7%,-8.6%,-4.0%,-0.024,-2.2%,-2.3%,0.0,-11.7%,-5.2%,-0.039,-12.9%,-12.2%,-0.006,-20.4%,5.9%,0.6%,-6.4%,-2.2%,-0.9%,11.8%,-3.2%,-8.5%
Opponent,14.0,3360,549,1289,0.426,149,481,0.31,400,808,0.495,202,261,0.774,149,501,650,295,120,70,178,275,1449
Opponent/G,,240.0,39.2,92.1,0.426,10.6,34.4,0.31,28.6,57.7,0.495,14.4,18.6,0.774,10.6,35.8,46.4,21.1,8.6,5.0,12.7,19.6,103.5
Lg Rank,,5,9,29,4.0,4,13,2.0,21,27,6.0,11,10,14.0,17,17,18,5,24,14,28,4,6
Year/Year,,-0.7%,-6.4%,0.9%,-0.033,-19.4%,-5.1%,-0.055,-0.4%,4.8%,-0.026,-15.4%,-15.3%,-0.001,1.8%,9.7%,7.8%,-12.3%,12.2%,9.1%,0.8%,3.9%,-9.3%
