StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,9.0,2185,372,791,0.47,101,283,0.357,271,508,0.533,160,194,0.825,103,350,453,222,63,19,134,188,1005
Team/G,,242.8,41.3,87.9,0.47,11.2,31.4,0.357,30.1,56.4,0.533,17.8,21.6,0.825,11.4,38.9,50.3,24.7,7.0,2.1,14.9,20.9,111.7
Lg Rank,,20,7,19,4.0,21,25,7.0,6,8,8.0,3,8,2.0,7,3,1,7,25,30,17,28,5
Year/Year,,0.6%,5.4%,5.0%,0.002,-13.3%,-13.1%,-0.001,14.6%,18.7%,-0.019,6.6%,2.1%,0.035,42.3%,16.2%,21.3%,-6.3%,-11.4%,-46.9%,5.8%,10.3%,3.3%
Opponent,9.0,2185,316,770,0.41,122,383,0.319,194,387,0.501,148,196,0.755,77,284,361,185,70,41,122,180,902
Opponent/G,,242.8,35.1,85.6,0.41,13.6,42.6,0.319,21.6,43.0,0.501,16.4,21.8,0.755,8.6,31.6,40.1,20.6,7.8,4.6,13.6,20.0,100.2
Lg Rank,,20,1,4,1.0,25,30,6.0,1,1,9.0,21,24,13.0,2,1,1,4,10,8,23,5,2
Year/Year,,0.6%,-10.2%,0.4%,-0.048,-5.0%,8.9%,-0.046,-13.2%,-6.8%,-0.037,5.5%,9.3%,-0.027,-9.9%,-5.5%,-6.5%,-20.3%,3.5%,14.3%,-10.0%,1.8%,-7.2%
