,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Nicolas Batum,SF,6-8,230,"December 14, 1988",France,7,
1,30,Troy Daniels,SG,6-4,200,"July 15, 1991",United States,2,VCU
2,12,Jorge Gutierrez,PG,6-3,191,"December 27, 1988",Mexico,2,California
3,19,PJ Hairston,SF,6-6,230,"December 24, 1992",United States,1,UNC
4,50,Tyler Hansbrough,PF,6-9,250,"November 3, 1985",United States,6,UNC
5,9,Aaron Harrison,SG,6-6,210,"October 28, 1994",United States,R,Kentucky
6,0,Spencer Hawes,PF,7-1,245,"April 28, 1988",United States,8,Washington
7,25,Al Jefferson,C,6-10,289,"January 4, 1985",United States,11,
8,44,Frank Kaminsky,C,7-0,240,"April 4, 1993",United States,R,Wisconsin
9,14,Michael Kidd-Gilchrist,SF,6-6,232,"September 26, 1993",United States,3,Kentucky
10,3,Jeremy Lamb,SG,6-5,180,"May 30, 1992",United States,3,UConn
11,1,Courtney Lee,SG,6-5,215,"October 3, 1985",United States,7,Western Kentucky
12,7,Jeremy Lin,SG,6-3,200,"August 23, 1988",United States,5,Harvard University
13,22,Brian Roberts,PG,6-1,173,"December 3, 1985",United States,3,Dayton
14,15,Kemba Walker,PG,6-0,184,"May 8, 1990",United States,4,UConn
15,2,Marvin Williams,PF,6-8,237,"June 19, 1986",United States,10,UNC
16,40,Cody Zeller,C,6-11,240,"October 5, 1992",United States,2,Indiana
