,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,98.3,0.239,0.311,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,Oracle Arena,803436
1,Lg Rank,1,30,1,1,1.0,16.0,1.0,2.0,1.0,1.0,26.0,7.0,1.0,14.0,21.0,25.0,1.0,7.0,18.0,22.0,,7
